,tconst,actors,originalTitle,genres,directors,writers,averageRating,numVotes,language
7798,tt0965546,"nm1069562,nm1392075,nm1071507,nm1216345,nm0594655,nm1845421,nm1503952,nm1209657,nm1985018,nm1959217",Nodame kantâbire,"Comedy,Drama,Music","nm2549243,nm1033032","nm2039225,nm2499938",8.3,2300,ja
7800,tt0965547,"nm0794054,nm0250752,nm0361662,nm0386235,nm0457238,nm0476223,nm0585640,nm0605451,nm0632770,nm0645636",Slam Dunk: Suramu danku,"Animation,Comedy,Drama","nm0632829,nm2910657,nm1628408,nm1387613","nm2547182,nm0457227,nm1012277",8.7,6010,en
7809,tt0969007,"nm2888674,nm0661703,nm0806527,nm0103699,nm0174909,nm0688943,nm1237416,nm1549312,nm2898528,nm1501374",Mistresses,Drama,"nm0528001,nm0299563,nm0387486,nm1122580,nm1237416,nm1353167","nm0688943,nm1237416,nm1549312,nm1284746,nm0485217,nm1720912,nm0105776,nm1124440,nm0308706,nm4089617,nm4089909",7.6,2078,en
7816,tt0969670,"nm0838580,nm0901346,nm0383213,nm0590481,nm1283586,nm1292934,nm1082823,nm0253528,nm2416676,nm3097210",Pasila,"Animation,Comedy,Crime",nm1292934,nm1292934,8.4,1614,en
7818,tt0971928,"nm2100834,nm2471388,nm1204486,nm1496291,nm0382456,nm1888415,nm1884974,nm2943353,nm2032284,nm1698820",Poker After Dark,Game-Show,nm1201539,\N,7.7,534,en
7819,tt0972412,"nm0778741,nm0005532,nm0011882,nm0834380,nm0004875,nm0722274,nm0000312,nm0004857,nm0000903,nm0567653",Private Practice,"Comedy,Drama,Romance","nm0863990,nm0488289,nm0732233,nm0963082,nm0434320,nm0957198,nm0671992,nm0940668,nm0180085,nm0696309,nm0005088,nm0007096,nm0813313,nm1455688,nm0001282,nm0113054,nm0011882,nm0502497,nm0185734,nm0326837,nm0001726,nm0292419,nm0578162,nm0697877,nm0650304,nm0088121,nm0844358,nm0004610,nm0215123,nm0000655,nm0509183,nm0956910,nm0385151,nm0004634,nm0894225","nm0722274,nm1499089,nm1541762,nm0085775,nm0147698,nm0283234,nm1065725,nm1871198,nm0251825,nm0184586,nm0746362,nm3356959,nm1301503,nm1274355,nm0637497,nm0894628,nm1646484,nm1054604,nm1263223,nm2381405,nm1721731,nm0566552,nm0750313,nm2775540,nm1545960,nm1212043,nm0053096,nm0325494,nm1288966,nm1004604,nm3251129,nm0493018,nm3067513,nm2002212,nm4116015,nm0371830",6.8,26995,en
7829,tt0972534,"nm0746811,nm1388927,nm0999117,nm1390614,nm0470941,nm0773759,nm2470538,nm0770462,nm1893532,nm0212604",iCarly,"Comedy,Family,Romance","nm1543688,nm0004597,nm0447583,nm0718270,nm0006919,nm0326245,nm2143401,nm0999117,nm0480932","nm0773759,nm1003810,nm2244947,nm0628008,nm2331723,nm2257577,nm0596429,nm1250208,nm2678764,nm1335972,nm1471730,nm2261811,nm2758056,nm1058228,nm3684607",6.7,40614,en
7839,tt0972713,"nm0419403,nm2174227,nm1069584,nm0319308,nm0229928,nm0043966,nm0841448,nm0008533,nm0222175,nm0833246",Shakugan no Shana,"Action,Adventure,Animation","nm0913869,nm1356688","nm2786640,nm1768333,nm2784815",7.0,1100,en
7842,tt0974077,"nm0421105,nm0001132,nm0001767,nm0571549,nm1373096,nm0083804,nm0174717,nm0277525,nm0283409,nm1375020",Cranford,Drama,"nm0193508,nm1362496","nm0083804,nm0174717,nm0309121,nm0858912",8.3,9927,ja
7849,tt0976014,"nm1341364,nm0241173,nm1974920,nm0334561,nm1482818,nm1091301,nm1416330,nm0828226,nm2115111,nm1939016",Greek,"Comedy,Drama,Family","nm0004627,nm0606845,nm0432627,nm0545763,nm0314104,nm0563039,nm0003022,nm0118665,nm0000625,nm0683525,nm0437802,nm0485878,nm0501185,nm0003080,nm0579318,nm0810553,nm0001513,nm0742819,nm0470971,nm0743093,nm0343687,nm0155117","nm1091301,nm1890301,nm1898779,nm2763815,nm2388413,nm2251660,nm0076965,nm0448455,nm0782360,nm3243635,nm1427899,nm1427947,nm2188762,nm2194973,nm0009017,nm2210824,nm0825217,nm0103928,nm0016539,nm2728193,nm3663337,nm1018092,nm1556992,nm0749993",7.6,24615,ja
7855,tt0976192,"nm0551223,nm0005079,nm0000327,nm0495450,nm0217221,nm0177328,nm0228492,nm0498278,nm0918852,nm0005513",The Spectacular Spider-Man,"Action,Adventure,Animation","nm0177328,nm0185374,nm1989960,nm0022828,nm0324713,nm0012368,nm0269229","nm0177328,nm0228492,nm0394447,nm0498278,nm0918852,nm0417405,nm2242750,nm1914953,nm0239635,nm0456158",8.3,16255,fr
7864,tt0978061,"nm1462185,nm1866022,nm1626041,nm1111680,nm1045680,nm1059110,nm1626034,nm0423080,nm1191894,nm2040088",Jumong,"Biography,Drama,History","nm2581286,nm2582878","nm1834284,nm2029315",8.1,3328,en
7873,tt0978076,"nm0452860,nm2065859,nm2097378,nm1116177,nm0840603,nm1328416,nm1559456,nm1328048,nm2963540,nm3540984",Liar Game,Drama,\N,"nm2962892,nm2582647",8.0,2150,en
7880,tt0978553,"nm3119972,nm1069584,nm2174227,nm2583829,nm3188455,nm3843808,nm2836674,nm2915527,nm1564172,nm1310066",Zero no tsukaima,"Action,Adventure,Animation","nm0412607,nm3108055,nm2394337,nm2037340,nm0765795,nm1059637,nm4047420,nm4681399,nm0949021","nm2784799,nm2784999,nm1771605",7.0,2217,en
7883,tt0979432,"nm0001543,nm0000114,nm0531808,nm0788335,nm0924154,nm1010540,nm0334318,nm1842344,nm0931324,nm0817027",Boardwalk Empire,"Crime,Drama","nm0887700,nm0002339,nm0687964,nm0080601,nm0026442,nm0002399,nm0658823,nm0148116,nm1047532,nm0000217,nm0851930,nm0007008,nm1264352,nm0804556","nm2583291,nm1010540,nm0466122,nm2943187,nm0466401,nm1096313,nm4234948,nm2555014,nm0465199,nm0281366,nm4546012,nm0619361,nm0799995,nm0887700,nm0296286,nm0352709,nm1289754,nm0773697,nm0826627,nm1721340,nm1212331,nm0653899,nm0877875,nm0227111",8.6,191372,en
7894,tt0981456,"nm1225250,nm1115778,nm0452844,nm0566147,nm1305522,nm0619134,nm2995691,nm1684869,nm0648449,nm0614045",Baki the Grappler,"Action,Animation,Drama","nm0409130,nm1211084","nm3378226,nm2588337",7.5,1734,en
7906,tt0981587,"nm0369931,nm1894315,nm0312375,nm2420627,nm5635705,nm2420277,nm5635883,nm2419233,nm5635363,nm2420175",Cities of the Underworld,"Documentary,History",nm1566899,"nm1857090,nm2798449,nm1209438,nm2142529,nm1490933,nm0201976,nm0557400,nm0576880,nm1421135,nm1678284,nm1249063,nm1012347,nm1593815",7.9,855,fr
7908,tt0983514,"nm1936822,nm1451059,nm0807368,nm1112616,nm4014969,nm0448053,nm4031108,nm0552429,nm1994635,nm3818205",Kitchen Nightmares,Reality-TV,"nm0402870,nm0470676,nm2015366,nm0917239,nm0852416,nm0391116",\N,7.5,13172,en
7914,tt0983950,"nm0632656,nm1480573,nm1303233,nm0948263,nm0440574,nm0944779,nm1851637,nm0766212,nm1845421,nm0913777",Byakuyakô,"Drama,Mystery,Romance",\N,\N,7.4,617,en
7917,tt0983983,"nm1017994,nm0816950,nm0916432,nm0361957,nm0277599,nm0811345,nm0326450,nm1839670,nm6115018",Shaun the Sheep,"Animation,Comedy,Family","nm0326450,nm1088172,nm2050774,nm0934356,nm1272452,nm2190815,nm0916432,nm2192511,nm0607727,nm2057012,nm0909602,nm1330391","nm0277599,nm0661910,nm0811345,nm0326450,nm2691307,nm0696305,nm2187663,nm2476265,nm2693805,nm2722926,nm2271767,nm3752043,nm4503368,nm1049492,nm0388139,nm3329696,nm9811832,nm5127036,nm1080807,nm0382506,nm1836368,nm1099016,nm1088172,nm0783111,nm0832329,nm3751744,nm2037857,nm2041517,nm0142627,nm1244232,nm1516030,nm1243910,nm3108609,nm0898740,nm0206675,nm1215677,nm1485380,nm1348566,nm0101508,nm2985521",8.2,15069,en
